CMDLINE python main.py
CHLD 40865 0.000000 1760682165.3619
MEM 119.320312 1760682165.4745
CHLD 40864 49.070312 1760682165.4850
CHLD 40865 0.000000 1760682165.4850
MEM 119.320312 1760682165.5980
CHLD 40864 49.070312 1760682165.6092
CHLD 40865 0.000000 1760682165.6093
MEM 119.320312 1760682165.7218
CHLD 40864 49.070312 1760682165.7334
CHLD 40865 0.000000 1760682165.7335
MEM 119.320312 1760682165.8456
CHLD 40864 49.070312 1760682165.8578
CHLD 40865 0.000000 1760682165.8578
MEM 119.335938 1760682165.9709
CHLD 40864 49.085938 1760682165.9821
CHLD 40865 0.000000 1760682165.9822
MEM 119.335938 1760682166.0952
CHLD 40864 49.085938 1760682166.1071
CHLD 40865 0.000000 1760682166.1072
MEM 119.335938 1760682166.2198
CHLD 40864 49.085938 1760682166.2309
CHLD 40865 0.000000 1760682166.2310
MEM 119.335938 1760682166.3444
CHLD 40864 49.085938 1760682166.3570
CHLD 40865 0.000000 1760682166.3570
MEM 119.335938 1760682166.4833
CHLD 40864 49.085938 1760682166.4989
CHLD 40865 0.000000 1760682166.4989
MEM 119.335938 1760682166.6172
CHLD 40864 49.085938 1760682166.6312
CHLD 40865 0.000000 1760682166.6313
MEM 119.335938 1760682166.7460
CHLD 40864 49.085938 1760682166.7595
CHLD 40865 0.000000 1760682166.7596
MEM 119.335938 1760682166.8733
CHLD 40864 49.085938 1760682166.8854
CHLD 40865 0.000000 1760682166.8855
MEM 119.339844 1760682167.0008
CHLD 40864 49.101562 1760682167.0217
CHLD 40865 0.000000 1760682167.0218
MEM 119.351562 1760682167.1495
CHLD 40864 49.101562 1760682167.1713
CHLD 40865 0.000000 1760682167.1714
MEM 119.351562 1760682167.2846
CHLD 40864 49.101562 1760682167.2957
CHLD 40865 0.000000 1760682167.2958
MEM 119.355469 1760682167.4148
CHLD 40864 49.117188 1760682167.4272
CHLD 40865 0.000000 1760682167.4272
MEM 119.367188 1760682167.5403
CHLD 40864 49.117188 1760682167.5524
CHLD 40865 0.000000 1760682167.5525
MEM 119.367188 1760682167.6653
CHLD 40864 49.117188 1760682167.6771
CHLD 40865 0.000000 1760682167.6772
MEM 119.367188 1760682167.7898
CHLD 40864 49.117188 1760682167.8024
CHLD 40865 0.000000 1760682167.8025
MEM 119.367188 1760682167.9139
CHLD 40864 49.117188 1760682167.9252
CHLD 40865 0.000000 1760682167.9252
MEM 119.367188 1760682168.0381
CHLD 40864 49.117188 1760682168.0490
CHLD 40865 0.000000 1760682168.0491
MEM 119.367188 1760682168.1626
CHLD 40864 49.117188 1760682168.1751
CHLD 40865 0.000000 1760682168.1751
MEM 119.367188 1760682168.2887
CHLD 40864 49.117188 1760682168.3001
CHLD 40865 0.000000 1760682168.3002
MEM 119.367188 1760682168.4129
CHLD 40864 49.117188 1760682168.4249
CHLD 40865 0.000000 1760682168.4250
MEM 119.367188 1760682168.5391
CHLD 40864 49.117188 1760682168.5512
CHLD 40865 0.000000 1760682168.5512
MEM 119.367188 1760682168.6647
CHLD 40864 49.117188 1760682168.6762
CHLD 40865 0.000000 1760682168.6762
MEM 119.367188 1760682168.7868
CHLD 40864 49.117188 1760682168.7979
CHLD 40865 0.000000 1760682168.7979
MEM 119.371094 1760682168.9101
CHLD 40864 49.132812 1760682168.9248
CHLD 40865 0.000000 1760682168.9250
MEM 119.382812 1760682169.0601
CHLD 40864 49.132812 1760682169.0760
CHLD 40865 0.000000 1760682169.0760
MEM 119.382812 1760682169.1896
CHLD 40864 49.132812 1760682169.2011
CHLD 40865 0.000000 1760682169.2011
MEM 119.382812 1760682169.3245
CHLD 40864 49.132812 1760682169.3455
CHLD 40865 0.000000 1760682169.3456
MEM 119.382812 1760682169.4688
CHLD 40864 49.132812 1760682169.4935
CHLD 40865 0.000000 1760682169.4936
MEM 119.382812 1760682169.6069
CHLD 40864 49.132812 1760682169.6185
CHLD 40865 0.000000 1760682169.6186
MEM 119.382812 1760682169.7438
CHLD 40864 49.132812 1760682169.7659
CHLD 40865 0.000000 1760682169.7660
MEM 119.382812 1760682169.8913
CHLD 40864 49.132812 1760682169.9117
CHLD 40865 0.000000 1760682169.9118
MEM 119.398438 1760682170.0355
CHLD 40864 49.148438 1760682170.0573
CHLD 40865 0.000000 1760682170.0574
MEM 119.398438 1760682170.1802
CHLD 40864 49.148438 1760682170.2023
CHLD 40865 0.000000 1760682170.2024
MEM 119.398438 1760682170.3245
CHLD 40864 49.164062 1760682170.3454
CHLD 40865 0.000000 1760682170.3455
MEM 119.414062 1760682170.4698
CHLD 40864 49.164062 1760682170.4942
CHLD 40865 0.000000 1760682170.4942
MEM 119.414062 1760682170.6051
CHLD 40864 49.164062 1760682170.6157
CHLD 40865 0.000000 1760682170.6158
MEM 119.414062 1760682170.7421
CHLD 40864 49.164062 1760682170.7639
CHLD 40865 0.000000 1760682170.7640
MEM 119.414062 1760682170.8803
CHLD 40864 49.164062 1760682170.8922
CHLD 40865 0.000000 1760682170.8923
MEM 119.414062 1760682171.0169
CHLD 40864 49.164062 1760682171.0376
CHLD 40865 0.000000 1760682171.0377
MEM 119.414062 1760682171.1497
CHLD 40864 49.164062 1760682171.1603
CHLD 40865 0.000000 1760682171.1603
MEM 119.414062 1760682171.2823
CHLD 40864 49.164062 1760682171.3035
CHLD 40865 0.000000 1760682171.3036
MEM 119.414062 1760682171.4265
CHLD 40864 49.164062 1760682171.4487
CHLD 40865 0.000000 1760682171.4488
MEM 119.414062 1760682171.5744
CHLD 40864 49.164062 1760682171.5983
CHLD 40865 0.000000 1760682171.5983
MEM 119.414062 1760682171.7125
CHLD 40864 49.164062 1760682171.7250
CHLD 40865 0.000000 1760682171.7251
MEM 119.417969 1760682171.8411
CHLD 40864 49.179688 1760682171.8570
CHLD 40865 0.000000 1760682171.8571
MEM 119.429688 1760682171.9747
CHLD 40864 49.179688 1760682171.9907
CHLD 40865 0.000000 1760682171.9907
MEM 119.429688 1760682172.1152
CHLD 40864 49.179688 1760682172.1380
CHLD 40865 0.000000 1760682172.1382
MEM 119.429688 1760682172.2546
CHLD 40864 49.179688 1760682172.2685
CHLD 40865 0.000000 1760682172.2685
MEM 119.429688 1760682172.3812
CHLD 40864 49.179688 1760682172.3950
CHLD 40865 0.000000 1760682172.3950
MEM 119.429688 1760682172.5200
CHLD 40864 49.179688 1760682172.5448
CHLD 40865 0.000000 1760682172.5449
MEM 119.429688 1760682172.6585
CHLD 40864 49.179688 1760682172.6717
CHLD 40865 0.000000 1760682172.6718
MEM 119.429688 1760682172.7952
CHLD 40864 49.179688 1760682172.8190
CHLD 40865 0.000000 1760682172.8191
MEM 119.445312 1760682172.9409
CHLD 40864 49.195312 1760682172.9518
CHLD 40865 0.000000 1760682172.9519
MEM 119.445312 1760682173.0732
CHLD 40864 49.195312 1760682173.0931
CHLD 40865 0.000000 1760682173.0932
MEM 119.445312 1760682173.2119
CHLD 40864 49.195312 1760682173.2237
CHLD 40865 0.000000 1760682173.2237
MEM 119.460938 1760682173.3358
CHLD 40864 49.210938 1760682173.3478
CHLD 40865 0.000000 1760682173.3478
MEM 119.460938 1760682173.4607
CHLD 40864 49.210938 1760682173.4724
CHLD 40865 0.000000 1760682173.4724
MEM 119.460938 1760682173.5950
CHLD 40864 49.210938 1760682173.6056
CHLD 40865 0.000000 1760682173.6056
MEM 119.460938 1760682173.7289
CHLD 40864 49.210938 1760682173.7509
CHLD 40865 0.000000 1760682173.7510
MEM 119.460938 1760682173.8737
CHLD 40864 49.210938 1760682173.8965
CHLD 40865 0.000000 1760682173.8966
MEM 119.460938 1760682174.0081
CHLD 40864 49.210938 1760682174.0276
CHLD 40865 0.000000 1760682174.0277
MEM 119.460938 1760682174.1403
CHLD 40864 49.210938 1760682174.1518
CHLD 40865 0.000000 1760682174.1518
MEM 119.460938 1760682174.2637
CHLD 40864 49.210938 1760682174.2742
CHLD 40865 0.000000 1760682174.2743
MEM 119.460938 1760682174.3875
CHLD 40864 49.210938 1760682174.3999
CHLD 40865 0.000000 1760682174.3999
MEM 119.460938 1760682174.5244
CHLD 40864 49.210938 1760682174.5466
CHLD 40865 0.000000 1760682174.5467
MEM 119.460938 1760682174.6705
CHLD 40864 49.226562 1760682174.6928
CHLD 40865 0.000000 1760682174.6929
MEM 119.476562 1760682174.8091
CHLD 40864 49.226562 1760682174.8205
CHLD 40865 0.000000 1760682174.8205
MEM 119.476562 1760682174.9401
CHLD 40864 49.226562 1760682174.9550
CHLD 40865 0.000000 1760682174.9550
MEM 119.476562 1760682175.0754
CHLD 40864 49.226562 1760682175.0916
CHLD 40865 0.000000 1760682175.0916
MEM 119.476562 1760682175.2145
CHLD 40864 49.226562 1760682175.2276
CHLD 40865 0.000000 1760682175.2277
MEM 119.476562 1760682175.3485
CHLD 40864 49.226562 1760682175.3602
CHLD 40865 0.000000 1760682175.3602
MEM 119.476562 1760682175.4731
CHLD 40864 49.226562 1760682175.4836
CHLD 40865 0.000000 1760682175.4836
MEM 119.476562 1760682175.6067
CHLD 40864 49.226562 1760682175.6262
CHLD 40865 0.000000 1760682175.6263
MEM 119.492188 1760682175.7389
CHLD 40864 49.242188 1760682175.7508
CHLD 40865 0.000000 1760682175.7509
MEM 119.492188 1760682175.8662
CHLD 40864 49.242188 1760682175.8801
CHLD 40865 0.000000 1760682175.8801
MEM 119.492188 1760682176.0001
CHLD 40864 49.242188 1760682176.0244
CHLD 40865 0.000000 1760682176.0245
MEM 119.507812 1760682176.1452
CHLD 40864 49.257812 1760682176.1569
CHLD 40865 0.000000 1760682176.1569
MEM 119.507812 1760682176.2695
CHLD 40864 49.257812 1760682176.2813
CHLD 40865 0.000000 1760682176.2813
MEM 119.507812 1760682176.3941
CHLD 40864 49.257812 1760682176.4056
CHLD 40865 0.000000 1760682176.4057
MEM 119.507812 1760682176.5253
CHLD 40864 49.257812 1760682176.5379
CHLD 40865 0.000000 1760682176.5380
MEM 119.507812 1760682176.6516
CHLD 40864 49.257812 1760682176.6644
CHLD 40865 0.000000 1760682176.6644
MEM 119.507812 1760682176.7817
CHLD 40864 49.257812 1760682176.7957
CHLD 40865 0.000000 1760682176.7958
MEM 119.507812 1760682176.9103
CHLD 40864 49.257812 1760682176.9242
CHLD 40865 0.000000 1760682176.9243
MEM 119.507812 1760682177.0368
CHLD 40864 49.257812 1760682177.0481
CHLD 40865 0.000000 1760682177.0482
MEM 119.507812 1760682177.1594
CHLD 40864 49.257812 1760682177.1704
CHLD 40865 0.000000 1760682177.1705
MEM 119.507812 1760682177.2879
CHLD 40864 49.257812 1760682177.3087
CHLD 40865 0.000000 1760682177.3088
MEM 119.507812 1760682177.4247
CHLD 40864 49.257812 1760682177.4360
CHLD 40865 0.000000 1760682177.4361
MEM 119.507812 1760682177.5518
CHLD 40864 49.257812 1760682177.5698
CHLD 40865 0.000000 1760682177.5698
MEM 119.523438 1760682177.6820
CHLD 40864 49.273438 1760682177.6935
CHLD 40865 0.000000 1760682177.6935
MEM 119.523438 1760682177.8118
CHLD 40864 49.273438 1760682177.8244
CHLD 40865 0.000000 1760682177.8245
MEM 119.523438 1760682177.9362
CHLD 40864 49.273438 1760682177.9471
CHLD 40865 0.000000 1760682177.9472
MEM 119.523438 1760682178.0612
CHLD 40864 49.273438 1760682178.0720
CHLD 40865 0.000000 1760682178.0720
MEM 119.523438 1760682178.1851
CHLD 40864 49.273438 1760682178.1968
CHLD 40865 0.000000 1760682178.1969
MEM 119.523438 1760682178.3090
CHLD 40864 49.273438 1760682178.3201
CHLD 40865 0.000000 1760682178.3201
MEM 119.523438 1760682178.4425
CHLD 40864 49.273438 1760682178.4554
CHLD 40865 0.000000 1760682178.4555
MEM 119.523438 1760682178.5683
CHLD 40864 49.273438 1760682178.5926
CHLD 40865 0.000000 1760682178.5927
MEM 119.539062 1760682178.7067
CHLD 40864 49.289062 1760682178.7180
CHLD 40865 0.000000 1760682178.7181
MEM 119.539062 1760682178.8313
CHLD 40864 49.289062 1760682178.8431
CHLD 40865 0.000000 1760682178.8431
MEM 119.539062 1760682178.9562
CHLD 40864 49.289062 1760682178.9679
CHLD 40865 0.000000 1760682178.9679
MEM 119.554688 1760682179.0809
CHLD 40864 49.304688 1760682179.0927
CHLD 40865 0.000000 1760682179.0927
MEM 119.554688 1760682179.2159
CHLD 40864 49.304688 1760682179.2284
CHLD 40865 0.000000 1760682179.2285
MEM 119.554688 1760682179.3540
CHLD 40864 49.304688 1760682179.3790
CHLD 40865 0.000000 1760682179.3791
MEM 119.554688 1760682179.4925
CHLD 40864 49.304688 1760682179.5058
CHLD 40865 0.000000 1760682179.5058
MEM 119.554688 1760682179.6293
CHLD 40864 49.304688 1760682179.6539
CHLD 40865 0.000000 1760682179.6540
MEM 119.554688 1760682179.7665
CHLD 40864 49.304688 1760682179.7763
CHLD 40865 0.000000 1760682179.7763
MEM 119.554688 1760682179.9013
CHLD 40864 49.304688 1760682179.9260
CHLD 40865 0.000000 1760682179.9261
MEM 119.554688 1760682180.0387
CHLD 40864 49.304688 1760682180.0505
CHLD 40865 0.000000 1760682180.0505
MEM 119.554688 1760682180.1755
CHLD 40864 49.304688 1760682180.1985
CHLD 40865 0.000000 1760682180.1985
MEM 119.554688 1760682180.3104
CHLD 40864 49.304688 1760682180.3215
CHLD 40865 0.000000 1760682180.3215
MEM 119.554688 1760682180.4424
CHLD 40864 49.308594 1760682180.4655
CHLD 40865 0.000000 1760682180.4656
